DC,KID,LPH,Mass,Prot,Prot_err,Teff,logg,w
0,11954503,0.171,0.9445,34.216,4.534,5424,4.76,0.0673
0,11954564,0.192,1.0616,36.096,5.688,5848,4.64,0.0244
0,11954582,0.40299999999999997,1.0882,48.663000000000004,12.638,5938,3.85,0.1564
0,11954841,0.14300000000000002,1.0055,52.345,1.508,5650,4.74,0.0078
0,11954852,0.252,1.0348,15.703,3.7089999999999996,5755,4.6,0.1722
0,11954921,0.223,1.1134,14.495999999999999,0.9420000000000001,6021,4.58,0.1727
0,11955136,0.14800000000000002,1.0102,25.328000000000003,2.2569999999999997,5667,4.7,0.101
0,11955141,0.314,0.8956,32.255,4.806,5237,4.55,0.1987
0,11955142,0.268,1.0604,46.088,8.755,5844,4.71,0.0603
0,11955309,0.353,0.8583,24.408,2.783,5093,4.61,0.2107
0,11955504,0.25,1.1779,7.035,0.09300000000000001,6222,4.6,0.2041
0,11956862,0.307,0.8069,45.806999999999995,1.41,4895,4.37,0.1193
0,11956938,0.253,0.9146,25.625,0.373,5310,4.58,0.1661
0,11957067,0.081,0.9801,51.646,11.26,5557,4.67,0.0107
0,11957459,0.125,0.976,41.232,1.077,5542,4.5,0.0288
0,11957672,0.28,0.8886,42.287,8.531,5210,4.54,0.1001
0,11958062,0.276,1.1999,61.168,10.882,6287,4.22,0.0376
0,11958066,0.166,0.8301,53.585,5.075,4984,4.49,0.0152
0,11958229,0.315,1.0671,17.624000000000002,3.6689999999999996,5867,4.55,0.2452
0,11958552,0.245,0.9143,26.533,4.477,5309,4.62,0.1663
0,11958737,0.17600000000000002,0.8283,36.702,0.469,4977,4.61,0.1013
0,11958782,0.192,0.9546,56.101000000000006,10.177,5462,4.62,0.0071
0,11958818,0.40399999999999997,0.748,38.236,2.8789999999999996,4673,4.2,0.2486
0,11958928,0.258,0.924,49.235,9.485,5346,4.6,0.0552
0,11959047,0.267,1.0326,63.803999999999995,1.4580000000000002,5747,4.9,0.028
0,11959245,0.23,1.0867,11.943,1.92,5933,4.51,0.1617
0,11959861,0.293,1.1055,10.145,0.18100000000000002,5995,4.53,0.2142
0,11960093,0.29100000000000004,0.7809,31.936999999999998,0.89,4796,4.57,0.1898
0,11960193,0.045,0.9332,0.40399999999999997,0.005,5381,4.61,0.0069
0,11960197,0.198,0.9319,69.149,7.422999999999999,5376,4.46,0.0022
0,11960547,0.318,0.8951,44.363,0.259,5235,4.52,0.119
0,11960626,0.042,1.214,16.929000000000002,0.831,6328,4.24,0.0364
0,11960863,0.07200000000000001,0.9893,4.4910000000000005,0.091,5591,4.67,0.0176
0,11961057,0.154,0.8319,29.674,1.999,4991,4.62,0.0748
0,11961181,0.19899999999999998,1.0822,46.805,1.065,5918,4.39,0.0051
0,11961208,0.22399999999999998,1.1085,3.804,0.024,6005,4.58,0.1228
0,11961570,0.193,1.0642,55.202,6.832999999999999,5857,4.62,0.0028
0,11961606,0.315,0.8405,38.184,0.69,5024,4.74,0.1641
0,11961631,0.29,1.1594,7.857,0.6559999999999999,6166,4.41,0.2338
0,11962403,0.21100000000000002,0.9005,31.886999999999997,4.237,5256,4.55,0.1325
0,11962548,0.40700000000000003,0.755,38.826,1.7409999999999999,4699,4.48,0.243
0,11962608,0.316,1.1033,17.277,2.2319999999999998,5988,4.49,0.2153
0,11962666,0.174,0.8093,43.597,3.7510000000000003,4904,4.84,0.0536
0,11963039,0.33899999999999997,1.0855,33.269,0.183,5929,4.54,0.1442
0,11963243,0.263,0.7761,36.606,0.49,4778,4.65,0.1748
0,11963325,0.231,1.1175,20.74,0.51,6034,4.52,0.1126
0,11963389,0.18899999999999997,1.2417,3.9739999999999998,0.402,6406,4.37,0.1568
0,11963534,0.254,1.0354,18.687,1.932,5757,5.05,0.2003
0,11966108,0.062,0.9712,26.329,2.931,5524,4.63,0.1251
0,11966339,0.11699999999999999,1.0668,18.666,2.1919999999999997,5866,4.58,0.1209
0,11966430,0.192,0.9915,46.435,8.331,5599,4.49,0.0148
0,11966762,0.084,0.9879,38.719,1.236,5586,4.7,0.0356
0,11966862,0.221,0.8205,27.47,2.0980000000000003,4947,4.71,0.1035
0,11966970,0.27,0.6888,42.533,12.569,4459,4.45,0.1461
0,11966996,0.26,1.0558,20.067999999999998,0.691,5828,4.75,0.1873
0,11967024,0.44799999999999995,0.9,42.049,0.505,5254,4.24,0.217
0,11967207,0.11,1.0834,26.653000000000002,0.611,5922,4.34,0.0444
0,11967291,0.187,1.0434,50.86600000000001,3.8810000000000002,5785,4.77,0.0056
0,11967347,0.213,1.0038,41.98,1.3419999999999999,5644,4.46,0.0334
0,11967388,0.322,0.8687,23.46,0.7120000000000001,5133,4.81,0.1822
0,11967875,0.263,0.9313,61.425,2.053,5374,4.54,0.0309
0,11968301,0.09699999999999999,0.9868,23.509,2.468,5582,5.0,0.1111
0,11968335,0.27399999999999997,1.1886,48.602,2.6689999999999996,6254,4.55,0.0548
0,11968389,0.209,0.7933,44.617,8.942,4843,4.34,0.0553
0,11968452,0.249,0.9642,48.152,6.178,5498,4.5,0.0483
0,11968678,0.126,1.1401,30.313000000000002,4.728,6106,4.56,0.0143
0,11968715,0.11699999999999999,1.0252,36.859,1.463,5721,4.72,0.0291
0,11969002,0.161,1.0315,43.553999999999995,2.698,5743,4.6,0.0135
0,11969018,0.17,1.0704,23.037,0.7120000000000001,5878,4.8,0.0765
0,11969263,0.309,0.8829,33.464,1.655,5188,4.73,0.188
0,11969326,0.251,0.8275,9.578,0.198,4974,4.49,0.1001
0,11969355,0.371,0.9575,30.041999999999998,0.336,5473,4.51,0.2268
0,11969448,0.17,1.046,23.815,2.803,5794,4.59,0.087
0,11969591,0.141,1.1,25.103,3.1519999999999997,5977,4.44,0.0423
0,11969618,0.319,1.2057,53.853,19.881,6304,4.19,0.0833
0,11969644,0.23600000000000002,0.9088,32.775999999999996,1.7519999999999998,5288,4.57,0.1348
0,11969783,0.06,1.1303,15.315,1.9340000000000002,6075,4.46,0.0923
0,11969944,0.263,0.8275,39.385999999999996,9.112,4974,4.6,0.1238
0,11969998,0.22899999999999998,1.0267,27.943,3.025,5726,4.52,0.1096
0,11970159,0.081,1.1366,15.640999999999998,0.382,6095,4.46,0.0821
0,11970220,0.45799999999999996,0.9138,53.797,4.696000000000001,5307,4.45,0.1917
0,11970654,0.24100000000000002,1.2193,7.591,1.8119999999999998,6343,4.32,0.1961
0,11970860,0.12,0.958,29.721,3.478,5475,4.89,0.1009
0,11971107,0.272,0.7556,32.038000000000004,1.912,4701,4.35,0.1655
0,11971505,0.27699999999999997,1.1003,15.049000000000001,1.455,5978,4.53,0.2188
0,11971631,0.218,1.1965,6.484,0.085,6277,4.52,0.1833
0,11971717,0.10400000000000001,0.9485,28.947,1.8019999999999998,5439,4.89,0.119
0,11971879,0.187,1.2002,14.921,0.439,6288,4.25,0.082
0,11972024,0.20800000000000002,0.9774,69.342,8.242,5547,4.13,0.0017
0,11972026,0.23199999999999998,1.2151,61.699,13.742,6331,4.32,0.0001
0,11972266,0.19399999999999998,1.0939,52.586000000000006,5.374,5957,4.37,0.0023
0,11972381,0.124,1.0105,30.698,2.146,5668,4.51,0.0613
0,11972414,0.264,1.2599,6.447,0.763,6456,4.35,0.201
0,11972626,0.22899999999999998,1.1287,14.232000000000001,1.913,6070,4.3,0.1643
0,11973475,0.145,0.935,30.17,2.458,5388,4.58,0.1113
0,11973511,0.193,1.0757,15.927999999999999,2.7769999999999997,5896,4.64,0.1565
0,11973697,0.18,1.0185,48.026,2.011,5697,4.61,0.0099
0,11974047,0.182,1.0166,38.635,1.5859999999999999,5690,4.47,0.0252
0,11974307,0.073,0.8987,33.991,6.245,5249,4.43,0.1032
0,11974368,0.24100000000000002,1.0933,16.684,2.07,5955,4.33,0.1785
0,11974560,0.282,1.1978,2.9730000000000003,0.7709999999999999,6281,4.5,0.1988
