,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
10906,5121003,5810,4.43,1.0506,3.3939999999999997,0.006,9625.91,0.728,0.4351,0,---
10907,5121051,6245,4.25,1.1856,2.043,0.011000000000000001,7714.09,1.304,0.7122,0,---
10908,5121173,6026,3.71,1.115,3.8289999999999997,0.021,949.44,0.545,0.3532,0,---
10909,5121239,6070,4.13,1.1287,4.423,0.005,6948.95,1.126,0.6499,0,---
10910,5121586,4537,4.46,0.7107,32.282,1.679,3400.68,0.45799999999999996,0.32,0,---
10911,5121711,5429,4.66,0.9458,20.648000000000003,3.64,1836.48,0.405,0.2769,0,---
10912,5121791,6278,4.52,1.1968,1.239,0.099,834.58,0.508,0.3433,0,---
10913,5122110,4884,4.2,0.8041,16.683,0.102,6439.66,1.23,0.6974,0,---
10914,5122276,5517,4.49,0.9693,23.926,0.259,2432.7,0.534,0.369,0,---
10915,5122808,4839,4.49,0.7923,32.111,3.2260000000000004,5686.34,0.41,0.3053,0,---
10916,5122990,5562,4.23,0.9814,15.489,0.215,1161.87,0.57,0.3812,0,---
10917,5123435,5337,4.58,0.9216,24.93,0.846,7012.07,0.647,0.4361,0,---
10918,5123624,5455,4.34,0.9527,0.237,0.003,639.53,0.46799999999999997,0.2665,0,---
10919,5123819,5988,4.35,1.1033,2.74,0.009000000000000001,7302.46,1.094,0.6111,0,---
10920,5123838,5093,4.85,0.8583,13.537,0.158,15413.4,1.1440000000000001,0.6382,0,---
10921,5123884,5347,4.74,0.9243,13.059000000000001,0.040999999999999995,7389.72,1.3559999999999999,0.7051,0,---
10922,5124013,5365,4.45,0.929,17.102999999999998,0.226,3547.67,0.7140000000000001,0.457,0,---
10923,5124299,5519,4.3,0.9698,12.01,0.11900000000000001,12088.24,1.349,0.7045,0,---
10924,5124342,6307,4.42,1.2068,1.095,0.003,429.99,0.6629999999999999,0.4355,0,---
10925,5124351,5327,4.73,0.919,6.156000000000001,0.01,18729.75,1.482,0.7653,0,---
10926,5124509,5389,4.18,0.9353,12.952,0.076,8815.94,1.21,0.6973,0,---
10927,5124907,5493,4.42,0.9629,26.983,3.3680000000000003,3047.47,0.46799999999999997,0.3081,0,---
10928,5124949,5052,4.32,0.8477,28.693,0.213,4097.91,0.503,0.3737,0,---
10929,5125098,5598,4.53,0.9912,12.332,2.015,2260.71,0.627,0.4031,0,---
10930,5125100,5147,4.45,0.8723,26.758000000000003,1.1340000000000001,2799.27,0.637,0.4361,0,---
10931,5125441,5780,4.44,1.042,12.384,0.609,2741.87,0.41100000000000003,0.2797,0,---
10932,5125727,5463,4.57,0.9549,13.66,2.62,4140.85,0.934,0.5709,0,---
10933,5125870,6027,4.6,1.1153,3.0010000000000003,0.019,11839.03,1.284,0.6906,0,---
10934,5125902,6163,4.51,1.1585,2.888,0.025,2139.57,0.515,0.3466,0,---
10935,5125948,4683,4.79,0.7507,8.197000000000001,0.047,5063.92,1.117,0.5820000000000001,0,---
10936,5125990,5970,4.48,1.0978,48.824,0.10400000000000001,1755.0,0.609,0.2884,0,SM2
10937,5126149,5490,4.57,0.9621,4.813,0.031,5326.15,0.91,0.511,0,---
10938,5126279,5810,4.12,1.0506,2.6439999999999997,0.03,966.01,0.444,0.2671,0,---
10939,5126303,5068,4.11,0.8519,27.296999999999997,0.643,7005.39,0.691,0.4572,0,---
10940,5126426,5218,4.24,0.8907,27.982,0.159,2649.34,0.473,0.3421,0,---
10941,5127106,4901,4.53,0.8085,33.223,1.7919999999999998,853.9,0.336,0.2507,0,---
10942,5127332,5126,4.53,0.8669,16.117,0.040999999999999995,7890.19,1.114,0.6537,0,---
10943,5127367,4979,4.25,0.8288,26.525,2.278,2823.95,0.6579999999999999,0.4602,0,---
10944,5127513,5396,4.3,0.9371,12.629000000000001,0.10099999999999999,4257.83,1.3119999999999998,0.705,0,---
10945,5127794,4985,4.62,0.8304,14.239,0.021,15368.79,1.271,0.7132,0,---
10946,5127807,5384,4.6,0.934,9.345,0.21100000000000002,12445.75,1.212,0.6642,0,---
10947,5127812,5507,4.84,0.9666,13.290999999999999,0.185,4995.11,0.525,0.3315,0,---
10948,5127947,4811,4.29,0.7849,21.023000000000003,0.136,21703.0,1.354,0.6638,0,---
10949,5128051,4979,4.07,0.8288,10.425999999999998,0.012,10511.4,1.2570000000000001,0.6633,0,---
10950,5128086,5077,4.23,0.8542,26.851999999999997,0.29,6249.37,0.8490000000000001,0.5071,0,---
10951,5128159,5900,4.12,1.0769,2.5869999999999997,0.003,8570.31,1.175,0.6336,0,---
10952,5128550,5297,4.25,0.9112,8.55,0.021,11882.07,1.345,0.715,0,---
10953,5128886,4444,4.4,0.6845,8.552999999999999,0.141,22379.61,1.436,0.7348,0,---
10954,5128966,5679,4.48,1.0135,0.509,0.004,42260.77,0.63,0.3706,0,---
10955,5129687,5549,4.4,0.9779,19.195999999999998,0.109,2034.96,0.615,0.4433,0,---
10956,5130326,5560,4.37,0.9809,22.243000000000002,0.531,2772.51,0.509,0.3682,0,---
10957,5130466,4901,4.51,0.8085,19.636,0.192,23593.46,1.395,0.6732,0,---
10958,5130472,6397,4.45,1.2384,2.4819999999999998,0.004,5917.64,1.6969999999999998,0.7877,0,---
10959,5130771,6072,4.61,1.1293,18.13,0.28600000000000003,4288.79,0.523,0.3206,0,---
